tubeNo,institution_department
S1,がん研有明病院_乳腺センター
S2,がん研有明病院_乳腺センター
S3,がん研有明病院_乳腺センター
S4,がん研有明病院_乳腺センター
S5,がん研有明病院_乳腺センター
S6,がん研有明病院_乳腺センター
S7,がん研有明病院_乳腺センター
N1,がん研有明病院_乳腺センター
S8,がん研有明病院_乳腺センター
S9,がん研有明病院_乳腺センター
S10,がん研有明病院_乳腺センター
N3,がん研有明病院_乳腺センター
S11,がん研有明病院_乳腺センター
S12,がん研有明病院_乳腺センター
N4,がん研有明病院_乳腺センター
S13,がん研有明病院_乳腺センター
S14,がん研有明病院_乳腺センター
S15,がん研有明病院_乳腺センター
S16,がん研有明病院_乳腺センター
S17,がん研有明病院_乳腺センター
S18,がん研有明病院_乳腺センター
S19,がん研有明病院_乳腺センター
N5,がん研有明病院_乳腺センター
S20,がん研有明病院_乳腺センター
S21,がん研有明病院_乳腺センター
N6,がん研有明病院_乳腺センター
S22,がん研有明病院_乳腺センター
S23,がん研有明病院_乳腺センター
S24,がん研有明病院_乳腺センター
S25,がん研有明病院_乳腺センター
S26,がん研有明病院_乳腺センター
S27,がん研有明病院_乳腺センター
N2,がん研有明病院_乳腺センター
N7,がん研有明病院_乳腺センター
S28,がん研有明病院_乳腺センター
S29,がん研有明病院_乳腺センター
S30,がん研有明病院_乳腺センター
H1,がん研有明病院_乳腺センター
H2,がん研有明病院_乳腺センター
H3,がん研有明病院_乳腺センター
H4,がん研有明病院_乳腺センター
H5,がん研有明病院_乳腺センター
H6,がん研有明病院_乳腺センター
H7,がん研有明病院_乳腺センター
H8,がん研有明病院_乳腺センター
H9,がん研有明病院_乳腺センター
H10,がん研有明病院_乳腺センター
H11,がん研有明病院_乳腺センター
H12,がん研有明病院_乳腺センター
H13,がん研有明病院_乳腺センター
H14,がん研有明病院_乳腺センター
H15,がん研有明病院_乳腺センター
H16,がん研有明病院_乳腺センター
H17,がん研有明病院_乳腺センター
H18,がん研有明病院_乳腺センター
H19,がん研有明病院_乳腺センター
H20,がん研有明病院_乳腺センター
H21,がん研有明病院_乳腺センター
H22,がん研有明病院_乳腺センター
H23,がん研有明病院_乳腺センター
H24,がん研有明病院_乳腺センター
H25,がん研有明病院_乳腺センター
H26,がん研有明病院_乳腺センター
H27,がん研有明病院_乳腺センター
H28,がん研有明病院_乳腺センター
H29,がん研有明病院_乳腺センター
H30,がん研有明病院_乳腺センター
S31,がん研有明病院_乳腺センター
S32,がん研有明病院_乳腺センター
S33,がん研有明病院_乳腺センター
S34,がん研有明病院_乳腺センター
S35,がん研有明病院_乳腺センター
S36,がん研有明病院_乳腺センター
S37,がん研有明病院_乳腺センター
S38,がん研有明病院_乳腺センター
S39,がん研有明病院_乳腺センター
S40,がん研有明病院_乳腺センター
S41,がん研有明病院_乳腺センター
S42,がん研有明病院_乳腺センター
S43,がん研有明病院_乳腺センター
S44,がん研有明病院_乳腺センター
S45,がん研有明病院_乳腺センター
S46,がん研有明病院_乳腺センター
S47,がん研有明病院_乳腺センター
S48,がん研有明病院_乳腺センター
S49,がん研有明病院_乳腺センター
S1-2,がん研有明病院_乳腺センター
N8,がん研有明病院_乳腺センター
N9,がん研有明病院_乳腺センター
S50,がん研有明病院_乳腺センター
S51,がん研有明病院_乳腺センター
S52,がん研有明病院_乳腺センター
S53,がん研有明病院_乳腺センター
S54,がん研有明病院_乳腺センター
S55,がん研有明病院_乳腺センター
S2-2,がん研有明病院_乳腺センター
S5-2,がん研有明病院_乳腺センター
S7-2,がん研有明病院_乳腺センター
S10-2,がん研有明病院_乳腺センター
S3-2,がん研有明病院_乳腺センター
S4-2,がん研有明病院_乳腺センター
S9-2,がん研有明病院_乳腺センター
S56,がん研有明病院_乳腺センター
S57,がん研有明病院_乳腺センター
S11-2,がん研有明病院_乳腺センター
S12-2,がん研有明病院_乳腺センター
S58,がん研有明病院_乳腺センター
S59,がん研有明病院_乳腺センター
S60,がん研有明病院_乳腺センター
S61,がん研有明病院_乳腺センター
S62,がん研有明病院_乳腺センター
S6-2,がん研有明病院_乳腺センター
S15-2,がん研有明病院_乳腺センター
S63,がん研有明病院_乳腺センター
S64,がん研有明病院_乳腺センター
S17-2,がん研有明病院_乳腺センター
S18-2,がん研有明病院_乳腺センター
S19-2,がん研有明病院_乳腺センター
S22-2,がん研有明病院_乳腺センター
S65,がん研有明病院_乳腺センター
S66,がん研有明病院_乳腺センター
N10,がん研有明病院_乳腺センター
S8-2,がん研有明病院_乳腺センター
S13-2,がん研有明病院_乳腺センター
S14-2,がん研有明病院_乳腺センター
S67,がん研有明病院_乳腺センター
N11,がん研有明病院_乳腺センター
S16-2,がん研有明病院_乳腺センター
S20-2,がん研有明病院_乳腺センター
S68,がん研有明病院_乳腺センター
S69,がん研有明病院_乳腺センター
S71,がん研有明病院_乳腺センター
S73,がん研有明病院_乳腺センター
N12,がん研有明病院_乳腺センター
S21-2,がん研有明病院_乳腺センター
S26-2,がん研有明病院_乳腺センター
S28-2,がん研有明病院_乳腺センター
S70,がん研有明病院_乳腺センター
S72,がん研有明病院_乳腺センター
S74,がん研有明病院_乳腺センター
S75,がん研有明病院_乳腺センター
S76,がん研有明病院_乳腺センター
S77,がん研有明病院_乳腺センター
S27-2,がん研有明病院_乳腺センター
S31-2,がん研有明病院_乳腺センター
S32-2,がん研有明病院_乳腺センター
S78,がん研有明病院_乳腺センター
S79,がん研有明病院_乳腺センター
S80,がん研有明病院_乳腺センター
S81,がん研有明病院_乳腺センター
S82,がん研有明病院_乳腺センター
S24-2,がん研有明病院_乳腺センター
S25-2,がん研有明病院_乳腺センター
S29-2,がん研有明病院_乳腺センター
S30-2,がん研有明病院_乳腺センター
S33-2,がん研有明病院_乳腺センター
S83,がん研有明病院_乳腺センター
S84,がん研有明病院_乳腺センター
S85,がん研有明病院_乳腺センター
S86,がん研有明病院_乳腺センター
S87,がん研有明病院_乳腺センター
S23-2,がん研有明病院_乳腺センター
S34-2,がん研有明病院_乳腺センター
S38-2,がん研有明病院_乳腺センター
S39-2,がん研有明病院_乳腺センター
S88,がん研有明病院_乳腺センター
S89,がん研有明病院_乳腺センター
S90,がん研有明病院_乳腺センター
S91,がん研有明病院_乳腺センター
S92,がん研有明病院_乳腺センター
S93,がん研有明病院_乳腺センター
S35-2,がん研有明病院_乳腺センター
S36-2,がん研有明病院_乳腺センター
S37-2,がん研有明病院_乳腺センター
S40-2,がん研有明病院_乳腺センター
S94,がん研有明病院_乳腺センター
S95,がん研有明病院_乳腺センター
S96,がん研有明病院_乳腺センター
S41-2,がん研有明病院_乳腺センター
S42-2,がん研有明病院_乳腺センター
S44-2,がん研有明病院_乳腺センター
S45-2,がん研有明病院_乳腺センター
S47-2,がん研有明病院_乳腺センター
S48-2,がん研有明病院_乳腺センター
S49-2,がん研有明病院_乳腺センター
N14,がん研有明病院_乳腺センター
S43-2,がん研有明病院_乳腺センター
N13,がん研有明病院_乳腺センター
S97,がん研有明病院_乳腺センター
S46-2,がん研有明病院_乳腺センター
S50-2,がん研有明病院_乳腺センター
S51-2,がん研有明病院_乳腺センター
S53-2,がん研有明病院_乳腺センター
S55-2,がん研有明病院_乳腺センター
S98,がん研有明病院_乳腺センター
N15,がん研有明病院_乳腺センター
N16,がん研有明病院_乳腺センター
S52-2,がん研有明病院_乳腺センター
S54-2,がん研有明病院_乳腺センター
S67-2,がん研有明病院_乳腺センター
S99,がん研有明病院_乳腺センター
S100,がん研有明病院_乳腺センター
S101,がん研有明病院_乳腺センター
S102,がん研有明病院_乳腺センター
S103,がん研有明病院_乳腺センター
N17,がん研有明病院_乳腺センター
S56-2,がん研有明病院_乳腺センター
S57-2,がん研有明病院_乳腺センター
S58-2,がん研有明病院_乳腺センター
S59-2,がん研有明病院_乳腺センター
S60-2,がん研有明病院_乳腺センター
S61-2,がん研有明病院_乳腺センター
S104,がん研有明病院_乳腺センター
S105,がん研有明病院_乳腺センター
S106,がん研有明病院_乳腺センター
N18,がん研有明病院_乳腺センター
S107,がん研有明病院_乳腺センター
S108,がん研有明病院_乳腺センター
S109,がん研有明病院_乳腺センター
S110,がん研有明病院_乳腺センター
S111,がん研有明病院_乳腺センター
N19,がん研有明病院_乳腺センター
S62-2,がん研有明病院_乳腺センター
S65-2,がん研有明病院_乳腺センター
S66-2,がん研有明病院_乳腺センター
S112,がん研有明病院_乳腺センター
S113,がん研有明病院_乳腺センター
S63-2,がん研有明病院_乳腺センター
S64-2,がん研有明病院_乳腺センター
S68-2,がん研有明病院_乳腺センター
S69-2,がん研有明病院_乳腺センター
S114,がん研有明病院_乳腺センター
S115,がん研有明病院_乳腺センター
S74-2,がん研有明病院_乳腺センター
S75-2,がん研有明病院_乳腺センター
S77-2,がん研有明病院_乳腺センター
S78-2,がん研有明病院_乳腺センター
S116,がん研有明病院_乳腺センター
S117,がん研有明病院_乳腺センター
S71-2,がん研有明病院_乳腺センター
S72-2,がん研有明病院_乳腺センター
S73-2,がん研有明病院_乳腺センター
S79-2,がん研有明病院_乳腺センター
S80-2,がん研有明病院_乳腺センター
N20,がん研有明病院_乳腺センター
N21,がん研有明病院_乳腺センター
S70-2,がん研有明病院_乳腺センター
S84-2,がん研有明病院_乳腺センター
S86-2,がん研有明病院_乳腺センター
S89-2,がん研有明病院_乳腺センター
S118,がん研有明病院_乳腺センター
S119,がん研有明病院_乳腺センター
S120,がん研有明病院_乳腺センター
N22,がん研有明病院_乳腺センター
S81-2,がん研有明病院_乳腺センター
S82-2,がん研有明病院_乳腺センター
S85-2,がん研有明病院_乳腺センター
S87-2,がん研有明病院_乳腺センター
S90-2,がん研有明病院_乳腺センター
N23,がん研有明病院_乳腺センター
S121,がん研有明病院_乳腺センター
N8-2,がん研有明病院_乳腺センター
S91-2,がん研有明病院_乳腺センター
S92-2,がん研有明病院_乳腺センター
S94-2,がん研有明病院_乳腺センター
S95-2,がん研有明病院_乳腺センター
S122,がん研有明病院_乳腺センター
S123,がん研有明病院_乳腺センター
S124,がん研有明病院_乳腺センター
S83-2,がん研有明病院_乳腺センター
S88-2,がん研有明病院_乳腺センター
S93-2,がん研有明病院_乳腺センター